ORDERKEY;PRODUCTKEY;QUANTITY;CATALOGPRICE;DISCOUNTAMOUNT;DISCOUNTPCTG;TRANSACTIONPRICE
SO57721;538;2;21,49;7,74;36;13,75
SO64972;529;1;3,99;0,16;4;3,83
SO73893;214;1;34,99;4,55;13;30,44
SO58254;580;2;1700,99;323,19;19;1377,8
SO58254;234;2;49,99;1;2;48,99
SO58255;491;3;53,99;10,8;20;43,19
SO58256;529;3;3,99;1,68;42;2,31
SO58256;538;2;21,49;9,67;45;11,82
SO58256;231;2;49,99;1,5;3;48,49
SO58257;541;2;28,99;2,61;9;26,38
SO58257;225;1;8,99;0,9;10;8,09
SO58257;530;3;4,99;1,45;29;3,54
SO58258;535;2;24,99;3,25;13;21,74
SO58259;538;1;21,49;10,1;47;11,39
SO58259;480;2;2,29;0,25;11;2,04
SO58260;535;2;24,99;8,5;34;16,49
SO58261;478;2;9,99;1,9;19;8,09
SO58261;477;2;4,99;0,6;12;4,39
SO58261;463;1;24,49;4,16;17;20,33
SO58261;217;2;34,99;10,15;29;24,84
SO58262;478;1;9,99;2,6;26;7,39
SO58262;477;3;4,99;1,95;39;3,04
SO58263;474;3;69,99;34,3;49;35,69
SO58264;477;2;4,99;1,4;28;3,59
SO58264;473;3;63,5;1,27;2;62,23
SO58264;478;1;9,99;3,6;36;6,39
SO58265;476;2;69,99;18,2;26;51,79
SO58265;481;3;8,99;0,18;2;8,81
SO58266;477;3;4,99;0,65;13;4,34
SO58266;489;1;53,99;17,82;33;36,17
SO58267;528;2;4,99;0,75;15;4,24
SO58267;222;1;34,99;17,15;49;17,84
SO58268;528;2;4,99;1,3;26;3,69
SO58268;480;2;2,29;1,03;45;1,26
SO58269;475;1;69,99;2,8;4;67,19
SO58269;465;2;24,49;7,35;30;17,14
SO58270;538;2;21,49;2,79;13;18,7
SO58270;480;3;2,29;1,03;45;1,26
SO58271;477;1;4,99;1,55;31;3,44
SO58272;529;1;3,99;0,56;14;3,43
SO58272;222;2;34,99;6,65;19;28,34
SO58273;530;2;4,99;0,55;11;4,44
SO58273;480;2;2,29;0,53;23;1,76
SO58274;372;2;2443,35;415,37;17;2027,98
SO58274;222;2;34,99;11,55;33;23,44
SO58275;580;3;1700,99;714,42;42;986,57
SO58275;225;2;8,99;1,98;22;7,01
SO58275;491;2;53,99;13,5;25;40,49
SO58276;599;1;539,99;145,8;27;394,19
SO58276;478;2;9,99;4,9;49;5,09
SO58276;473;1;63,5;5,08;8;58,42
SO58276;477;1;4,99;1,35;27;3,64
SO58277;225;2;8,99;0,9;10;8,09
SO58277;577;2;1214,85;522,39;43;692,46
SO58278;357;1;2319,99;1136,8;49;1183,19
SO58278;487;2;54,99;7,15;13;47,84
SO58278;488;2;53,99;19,44;36;34,55
SO58279;353;3;2319,99;487,2;21;1832,79
SO58279;487;2;54,99;20,35;37;34,64
SO58279;484;2;7,95;0,16;2;7,79
SO58280;576;1;2384,07;572,18;24;1811,89
SO58280;481;2;8,99;3,51;39;5,48
SO58281;584;2;539,99;10,8;2;529,19
SO58281;538;1;21,49;6,23;29;15,26
SO58282;584;3;539,99;167,4;31;372,59
SO58282;477;3;4,99;0,6;12;4,39
SO58282;479;3;8,99;1,26;14;7,73
SO58282;471;3;63,5;17,15;27;46,35
SO58283;604;2;539,99;70,2;13;469,79
SO58283;477;1;4,99;2,05;41;2,94
SO58283;479;2;8,99;4,41;49;4,58
SO58283;480;2;2,29;0,3;13;1,99
SO58284;606;2;539,99;194,4;36;345,59
SO58285;386;1;1120,49;190,48;17;930,01
SO58285;214;1;34,99;15,05;43;19,94
SO58286;382;2;1120,49;100,84;9;1019,65
SO58286;539;3;24,99;5;20;19,99
SO58286;231;2;49,99;14,5;29;35,49
SO58287;604;1;539,99;64,8;12;475,19
SO58287;529;1;3,99;0,12;3;3,87
SO58287;538;3;21,49;5,16;24;16,33
SO58287;480;1;2,29;1,01;44;1,28
SO58288;361;1;2294,99;137,7;6;2157,29
SO58288;478;3;9,99;1;10;8,99
SO58288;217;3;34,99;15,75;45;19,24
SO58289;539;1;24,99;2;8;22,99
SO58290;536;2;29,99;13,2;44;16,79
SO58290;528;2;4,99;1,3;26;3,69
SO58290;214;1;34,99;16,8;48;18,19
SO58290;482;1;8,99;3,06;34;5,93
SO58291;536;3;29,99;9;30;20,99
SO58291;528;2;4,99;1,95;39;3,04
SO58292;528;1;4,99;1,55;31;3,44
SO58292;536;3;29,99;13,8;46;16,19
SO58292;222;2;34,99;15,75;45;19,24
SO58293;538;2;21,49;4,08;19;17,41
SO58293;480;2;2,29;0,18;8;2,11
SO58294;485;2;21,98;7,47;34;14,51
SO58294;225;1;8,99;1,62;18;7,37
SO58295;538;2;21,49;3,44;16;18,05
SO58295;480;2;2,29;0,55;24;1,74
SO58296;477;2;4,99;2,25;45;2,74
SO58296;489;2;53,99;21,6;40;32,39
SO58296;225;2;8,99;0,9;10;8,09
SO58297;225;2;8,99;3,78;42;5,21
SO58297;474;1;69,99;1,4;2;68,59
SO58298;217;3;34,99;14,7;42;20,29
SO58299;380;3;2443,35;1026,21;42;1417,14
SO58299;483;1;120;52,8;44;67,2
SO58300;529;3;3,99;1,44;36;2,55
SO58300;480;1;2,29;0,41;18;1,88
SO58301;529;2;3,99;1,36;34;2,63
SO58301;228;1;49,99;23;46;26,99
SO58302;528;3;4,99;2,05;41;2,94
SO58302;535;1;24,99;9;36;15,99
SO58302;217;3;34,99;13,65;39;21,34
SO58303;541;2;28,99;8,12;28;20,87
SO58303;530;2;4,99;1,5;30;3,49
SO58303;217;2;34,99;7,35;21;27,64
SO58303;465;3;24,49;4,9;20;19,59
SO58304;540;2;32,6;0,65;2;31,95
SO58304;480;3;2,29;0,34;15;1,95
SO58305;529;2;3,99;0,76;19;3,23
SO58305;540;1;32,6;12,71;39;19,89
SO58306;536;1;29,99;7,5;25;22,49
SO58307;536;2;29,99;1,5;5;28,49
SO58307;528;2;4,99;0,05;1;4,94
SO58307;217;3;34,99;11,55;33;23,44
SO58308;478;2;9,99;1,4;14;8,59
SO58308;477;2;4,99;2,4;48;2,59
SO58308;222;2;34,99;8,4;24;26,59
SO58308;463;3;24,49;9,8;40;14,69
SO58309;476;2;69,99;28,7;41;41,29
SO58310;528;2;4,99;0,55;11;4,44
SO58310;222;1;34,99;13,3;38;21,69
SO58311;477;1;4,99;1,35;27;3,64
SO58312;225;3;8,99;3,33;37;5,66
SO58312;485;1;21,98;8,35;38;13,63
SO58313;485;2;21,98;8,57;39;13,41
SO58313;465;2;24,49;0,98;4;23,51
SO58313;214;2;34,99;3,85;11;31,14
SO58314;537;3;35;16,1;46;18,9
SO58314;222;2;34,99;14;40;20,99
SO58315;529;2;3,99;1,64;41;2,35
SO58315;540;3;32,6;4,89;15;27,71
SO58315;480;2;2,29;1,05;46;1,24
SO58316;536;3;29,99;13,8;46;16,19
SO58316;528;1;4,99;2,1;42;2,89
