ORDERKEY;ORDERDATE;DELIVERYDATE;CUSTOMERKEY;CHANNELKEY;PAYMENTMETHODKEY;DELIVERYMETHODKEY;COUNTRYKEY;DELIVERYCOST;ORDERSTATUSKEY
SO48805;02-01-2019;09-01-2019;19318;1;4;1;6;0;4
SO48806;02-01-2019;09-01-2019;20885;1;3;2;10;7,4;4
SO48807;02-01-2019;09-01-2019;20892;1;2;3;7;2,99;4
SO48808;02-01-2019;09-01-2019;16552;1;3;4;9;5,17;4
SO48809;02-01-2019;09-01-2019;23411;2;3;4;9;5,88;4
SO48810;02-01-2019;09-01-2019;23415;1;1;4;7;5,56;4
SO48811;02-01-2019;09-01-2019;15517;1;4;3;4;8,55;4
SO48812;02-01-2019;09-01-2019;13630;1;3;2;9;8,71;4
SO48813;02-01-2019;09-01-2019;13631;2;1;2;8;9,18;4
SO48814;02-01-2019;09-01-2019;13647;2;1;4;3;9,52;4
SO48815;03-01-2019;10-01-2019;17700;2;1;4;7;2,38;4
SO48816;03-01-2019;10-01-2019;12459;1;4;4;9;2,64;4
SO48817;03-01-2019;10-01-2019;26049;2;3;2;7;3,81;4
SO48818;03-01-2019;10-01-2019;15497;2;3;3;4;7,61;4
SO48819;03-01-2019;10-01-2019;13622;1;1;4;10;1,65;4
SO48820;03-01-2019;10-01-2019;13958;1;2;1;6;0;4
SO48821;03-01-2019;10-01-2019;23344;1;1;4;7;6,19;4
SO48822;04-01-2019;11-01-2019;17743;2;3;3;9;3,32;4
SO48823;04-01-2019;11-01-2019;16821;1;2;1;6;9,46;4
SO48824;04-01-2019;11-01-2019;23408;1;3;3;9;7,61;4
SO48825;04-01-2019;11-01-2019;23414;1;1;3;2;6,7;4
SO48826;04-01-2019;11-01-2019;23421;2;1;3;3;8,8;4
SO48827;04-01-2019;11-01-2019;26729;2;2;2;1;5,47;4
SO48828;04-01-2019;11-01-2019;23120;2;2;2;9;9,83;4
SO48829;04-01-2019;11-01-2019;23121;1;1;3;6;2,03;4
SO48830;05-01-2019;12-01-2019;17750;1;4;2;9;9,58;4
SO48831;05-01-2019;12-01-2019;20886;1;3;2;10;4,33;4
SO48832;05-01-2019;12-01-2019;23418;1;2;3;8;3,45;4
SO48833;05-01-2019;12-01-2019;23118;2;4;2;9;5,91;4
SO48834;05-01-2019;12-01-2019;26695;1;4;2;4;6,02;4
SO48835;05-01-2019;12-01-2019;21148;2;2;3;10;5,17;4
SO48836;05-01-2019;12-01-2019;13959;1;3;2;6;4,54;4
SO48837;06-01-2019;13-01-2019;23311;1;3;2;10;4,84;4
SO48838;06-01-2019;13-01-2019;23409;1;3;2;2;4,59;4
SO48839;07-01-2019;14-01-2019;16567;1;4;1;6;9,92;4
SO48840;07-01-2019;14-01-2019;17753;1;3;2;10;9,68;4
SO48841;07-01-2019;14-01-2019;17716;2;3;1;9;9,53;4
SO48842;07-01-2019;14-01-2019;12463;2;3;2;8;0;4
SO48843;07-01-2019;14-01-2019;15489;1;1;2;1;1,37;4
SO48844;07-01-2019;14-01-2019;15492;1;2;4;1;8,69;4
SO48845;07-01-2019;14-01-2019;13620;2;2;3;6;2,91;4
SO48846;07-01-2019;14-01-2019;13651;1;1;1;2;0;4
SO48847;07-01-2019;14-01-2019;14336;1;4;3;1;6,39;4
SO48848;08-01-2019;15-01-2019;19424;1;1;4;2;6,34;4
SO48849;08-01-2019;15-01-2019;28904;1;1;1;9;9,1;4
SO48850;08-01-2019;15-01-2019;29361;1;1;3;10;6,18;4
SO48851;08-01-2019;15-01-2019;26717;1;4;1;1;6,12;4
SO48852;08-01-2019;15-01-2019;15503;1;2;1;1;5,84;4
SO48853;08-01-2019;15-01-2019;15520;1;1;3;4;5,36;4
SO48854;08-01-2019;15-01-2019;13643;1;1;2;9;6,68;4
SO48855;08-01-2019;15-01-2019;13955;1;3;1;7;6,13;4
SO48856;08-01-2019;15-01-2019;13967;1;3;4;9;7,67;4
SO48857;08-01-2019;15-01-2019;26652;2;2;3;3;8,8;4
SO48858;09-01-2019;16-01-2019;15455;2;1;4;7;4,96;4
SO48859;09-01-2019;16-01-2019;16603;1;1;2;10;3,48;4
SO48860;09-01-2019;16-01-2019;13849;2;4;4;1;7,21;4
SO48861;09-01-2019;16-01-2019;26786;2;4;2;4;9,42;4
SO48862;09-01-2019;16-01-2019;26805;1;3;4;4;2,62;4
