PRODUCTKEY;PRODUCTCODE;PRODUCTNAME;PRODUCTSUBCATEGORYKEY
522;SE-T762;ML Touring Seat/Saddle;15
523;SE-T924;HL Touring Seat/Saddle;15
524;FR-M21S-42;LL Mountain Frame - Silver, 42;12
525;FR-M21S-44;LL Mountain Frame - Silver, 44;12
526;FR-M21S-48;LL Mountain Frame - Silver, 48;12
527;FR-M21S-52;LL Mountain Frame - Silver, 52;12
528;TT-M928;Mountain Tire Tube;37
529;TT-R982;Road Tire Tube;37
530;TT-T092;Touring Tire Tube;37
531;FR-M21B-42;LL Mountain Frame - Black, 42;12
532;FR-M21B-44;LL Mountain Frame - Black, 44;12
533;FR-M21B-48;LL Mountain Frame - Black, 48;12
534;FR-M21B-52;LL Mountain Frame - Black, 52;12
535;TI-M267;LL Mountain Tire;37
536;TI-M602;ML Mountain Tire;37
537;TI-M823;HL Mountain Tire;37
538;TI-R092;LL Road Tire;37
539;TI-R628;ML Road Tire;37
540;TI-R982;HL Road Tire;37
541;TI-T723;Touring Tire;37
542;PD-M282;LL Mountain Pedal;13
543;PD-M340;ML Mountain Pedal;13
544;PD-M562;HL Mountain Pedal;13
545;PD-R347;LL Road Pedal;13
546;PD-R563;ML Road Pedal;13
547;PD-R853;HL Road Pedal;13
548;PD-T852;Touring Pedal;13
549;FR-M63S-38;ML Mountain Frame-W - Silver, 38;12
550;FR-M21B-40;LL Mountain Frame - Black, 40;12
551;FR-M21S-40;LL Mountain Frame - Silver, 40;12
552;FD-2342;Front Derailleur;9
553;HB-T721;LL Touring Handlebars;4
554;HB-T928;HL Touring Handlebars;4
555;FB-9873;Front Brakes;6
556;CS-4759;LL Crankset;8
557;CS-6583;ML Crankset;8
558;CS-9183;HL Crankset;8
559;CH-0234;Endura steel chain;7
560;BK-T44U-60;Touring-2000 Blue, 60;3
561;BK-T79Y-46;Touring-1000 Yellow, 46;3
562;BK-T79Y-50;Touring-1000 Yellow, 50;3
563;BK-T79Y-54;Touring-1000 Yellow, 54;3
564;BK-T79Y-60;Touring-1000 Yellow, 60;3
565;BK-T18U-54;Touring-3000 Blue, 54;3
566;BK-T18U-58;Touring-3000 Blue, 58;3
567;BK-T18U-62;Touring-3000 Blue, 62;3
568;BK-T18Y-44;Touring-3000 Yellow, 44;3
569;BK-T18Y-50;Touring-3000 Yellow, 50;3
570;BK-T18Y-54;Touring-3000 Yellow, 54;3
571;BK-T18Y-58;Touring-3000 Yellow, 58;3
572;BK-T18Y-62;Touring-3000 Yellow, 62;3
573;BK-T79U-46;Touring-1000 Blue, 46;3
574;BK-T79U-50;Touring-1000 Blue, 50;3
575;BK-T79U-54;Touring-1000 Blue, 54;3
576;BK-T79U-60;Touring-1000 Blue, 60;3
577;BK-T44U-46;Touring-2000 Blue, 46;3
578;BK-T44U-50;Touring-2000 Blue, 50;3
579;BK-T44U-54;Touring-2000 Blue, 54;3
580;BK-R79Y-40;Road-350-W Yellow, 40;2
581;BK-R79Y-42;Road-350-W Yellow, 42;2
582;BK-R79Y-44;Road-350-W Yellow, 44;2
583;BK-R79Y-48;Road-350-W Yellow, 48;2
584;BK-R19B-58;Road-750 Black, 58;2
585;BK-T18U-44;Touring-3000 Blue, 44;3
586;BK-T18U-50;Touring-3000 Blue, 50;3
587;BK-M38S-38;Mountain-400-W Silver, 38;1
588;BK-M38S-40;Mountain-400-W Silver, 40;1
589;BK-M38S-42;Mountain-400-W Silver, 42;1
590;BK-M38S-46;Mountain-400-W Silver, 46;1
591;BK-M18S-40;Mountain-500 Silver, 40;1
592;BK-M18S-42;Mountain-500 Silver, 42;1
593;BK-M18S-44;Mountain-500 Silver, 44;1
594;BK-M18S-48;Mountain-500 Silver, 48;1
595;BK-M18S-52;Mountain-500 Silver, 52;1
596;BK-M18B-40;Mountain-500 Black, 40;1
597;BK-M18B-42;Mountain-500 Black, 42;1
598;BK-M18B-44;Mountain-500 Black, 44;1
599;BK-M18B-48;Mountain-500 Black, 48;1
600;BK-M18B-52;Mountain-500 Black, 52;1
601;BB-7421;LL Bottom Bracket;5
602;BB-8107;ML Bottom Bracket;5
603;BB-9108;HL Bottom Bracket;5
604;BK-R19B-44;Road-750 Black, 44;2
605;BK-R19B-48;Road-750 Black, 48;2
606;BK-R19B-52;Road-750 Black, 52;2
898;EPSL-XS;Endura Pro SL Lite Jersey XS;21
899;EPSL-S;Endura Pro SL Lite Jersey S;21
900;EPSL-L;Endura Pro SL Lite Jersey L;21
901;EPSL-XL;Endura Pro SL Lite Jersey XL;21
1;AR-5381;Adjustable Race;8
2;BA-8327;Bearing Ball;8
3;BE-2349;BB Ball Bearing;8
4;BE-2908;Headset Ball Bearings;8
5;BL-2036;Blade;8
6;CA-5965;LL Crankarm;8
7;CA-6738;ML Crankarm;8
8;CA-7457;HL Crankarm;8
9;CB-2903;Chainring Bolts;8
10;CN-6137;Chainring Nut;8
11;CR-7833;Chainring;8
12;CR-9981;Crown Race;8
13;CS-2812;Chain Stays;8
14;DC-8732;Decal 1;8
15;DC-9824;Decal 2;8
16;DT-2377;Down Tube;8
17;EC-M092;Mountain End Caps;8
18;EC-R098;Road End Caps;8
19;EC-T209;Touring End Caps;8
20;FE-3760;Fork End;8
21;FH-2981;Freewheel;8
22;FW-1000;Flat Washer 1;8
23;FW-1200;Flat Washer 6;8
24;FW-1400;Flat Washer 2;8
25;FW-3400;Flat Washer 9;8
26;FW-3800;Flat Washer 4;8
27;FW-5160;Flat Washer 3;8
28;FW-5800;Flat Washer 8;8
29;FW-7160;Flat Washer 5;8
30;FW-9160;Flat Washer 7;8
31;FC-3654;Fork Crown;8
32;FC-3982;Front Derailleur Cage;8
33;FL-2301;Front Derailleur Linkage;8
34;GP-0982;Guide Pulley;8
